parcel_id,crop_code,crop_name,crop_purity,area_mu,area_ha,area_m2,perimeter_m,compactness,machinery_suitability,center_lon,center_lat
GLC10_P0001,10,大田农作物 (通用耕地),0.984,728.85,48.59,485900.0,5289.0,0.218,良 (标准规整农机作业区),-13.389381,16.067043
GLC10_P0002,10,大田农作物 (通用耕地),0.941,727.5,48.5,485000.0,6908.8,0.128,良 (标准规整农机作业区),-13.286221,16.191454
GLC10_P0003,10,大田农作物 (通用耕地),0.991,727.05,48.47,484700.0,3956.1,0.389,优 (集中连片优质适机区),-13.519209,16.104274
GLC10_P0004,10,大田农作物 (通用耕地),0.947,694.65,46.31,463100.0,7293.1,0.109,良 (标准规整农机作业区),-13.814172,16.076819
GLC10_P0005,10,大田农作物 (通用耕地),0.976,651.0,43.4,434000.0,4641.2,0.253,良 (标准规整农机作业区),-13.383604,16.034072
GLC10_P0006,10,大田农作物 (通用耕地),0.979,643.05,42.87,428700.0,10217.8,0.052,良 (标准规整农机作业区),-13.463173,16.134991
GLC10_P0007,10,大田农作物 (通用耕地),0.976,586.8,39.12,391200.0,6723.5,0.109,良 (标准规整农机作业区),-12.022715,16.364389
GLC10_P0008,10,大田农作物 (通用耕地),0.993,585.0,39.0,390000.0,4729.0,0.219,良 (标准规整农机作业区),-13.450531,16.025536
GLC10_P0009,10,大田农作物 (通用耕地),0.98,572.4,38.16,381600.0,5799.2,0.143,良 (标准规整农机作业区),-13.436217,16.057109
GLC10_P0010,10,大田农作物 (通用耕地),0.961,558.6,37.24,372400.0,7996.0,0.073,良 (标准规整农机作业区),-13.474816,16.150753
GLC10_P0011,10,大田农作物 (通用耕地),0.962,552.3,36.82,368200.0,7533.4,0.082,良 (标准规整农机作业区),-13.103296,16.220853
GLC10_P0012,10,大田农作物 (通用耕地),0.997,544.8,36.32,363200.0,5181.7,0.17,良 (标准规整农机作业区),-13.476953,16.057352
GLC10_P0013,10,大田农作物 (通用耕地),0.974,497.1,33.14,331400.0,4548.9,0.201,良 (标准规整农机作业区),-13.886653,16.201458
GLC10_P0014,10,大田农作物 (通用耕地),0.963,475.8,31.72,317200.0,5725.3,0.122,良 (标准规整农机作业区),-13.08199,17.50103
GLC10_P0015,10,大田农作物 (通用耕地),0.959,452.1,30.14,301400.0,6167.5,0.1,良 (标准规整农机作业区),-13.468662,16.153357
GLC10_P0016,10,大田农作物 (通用耕地),0.98,432.6,28.84,288400.0,4964.6,0.147,良 (标准规整农机作业区),-13.993347,17.096508
GLC10_P0017,10,大田农作物 (通用耕地),0.973,419.4,27.96,279600.0,5795.3,0.105,良 (标准规整农机作业区),-13.503129,16.128708
GLC10_P0018,10,大田农作物 (通用耕地),0.981,408.45,27.23,272300.0,4148.4,0.199,良 (标准规整农机作业区),-13.392412,16.006965
GLC10_P0019,10,大田农作物 (通用耕地),0.969,402.3,26.82,268200.0,7072.7,0.067,良 (标准规整农机作业区),-12.69242,17.105454
GLC10_P0020,10,大田农作物 (通用耕地),0.988,394.95,26.33,263300.0,3824.4,0.226,良 (标准规整农机作业区),-13.506818,16.122401
GLC10_P0021,10,大田农作物 (通用耕地),0.974,376.65,25.11,251100.0,5558.4,0.102,良 (标准规整农机作业区),-13.45243,16.138801
GLC10_P0022,10,大田农作物 (通用耕地),0.932,368.4,24.56,245600.0,4229.9,0.172,良 (标准规整农机作业区),-13.538156,16.12154
GLC10_P0023,10,大田农作物 (通用耕地),0.999,358.95,23.93,239300.0,3059.5,0.321,良 (标准规整农机作业区),-13.44308,16.050082
GLC10_P0024,10,大田农作物 (通用耕地),0.957,333.75,22.25,222500.0,5186.8,0.104,良 (标准规整农机作业区),-13.406533,16.15827
GLC10_P0025,10,大田农作物 (通用耕地),1.0,330.3,22.02,220200.0,2502.8,0.442,优 (集中连片优质适机区),-13.501377,16.076086
GLC10_P0026,10,大田农作物 (通用耕地),0.991,329.1,21.94,219400.0,4131.9,0.161,良 (标准规整农机作业区),-13.544671,16.135513
GLC10_P0027,10,大田农作物 (通用耕地),0.997,328.95,21.93,219300.0,2944.6,0.318,良 (标准规整农机作业区),-13.410705,16.05648
GLC10_P0028,10,大田农作物 (通用耕地),0.981,319.95,21.33,213300.0,2819.8,0.337,良 (标准规整农机作业区),-13.416816,16.057605
GLC10_P0029,10,大田农作物 (通用耕地),0.977,318.75,21.25,212500.0,2643.0,0.382,优 (集中连片优质适机区),-13.524776,16.090798
GLC10_P0030,10,大田农作物 (通用耕地),0.98,306.0,20.4,204000.0,4048.0,0.156,良 (标准规整农机作业区),-13.551732,16.137539
GLC10_P0031,10,大田农作物 (通用耕地),0.983,297.75,19.85,198500.0,4943.2,0.102,良 (标准规整农机作业区),-13.4137,16.06022
GLC10_P0032,10,大田农作物 (通用耕地),0.993,286.65,19.11,191100.0,2114.9,0.537,优 (集中连片优质适机区),-13.415343,16.042264
GLC10_P0033,10,大田农作物 (通用耕地),0.971,278.55,18.57,185700.0,4078.0,0.14,良 (标准规整农机作业区),-13.436698,16.173265
GLC10_P0034,10,大田农作物 (通用耕地),0.994,278.25,18.55,185500.0,5329.2,0.082,良 (标准规整农机作业区),-13.584514,16.119927
